"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202008","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","87","Number of item","398189","Kilogram","190,489,306",
"202008","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","36","Number of item","161827","Kilogram","40,468,954",
"202008","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","7","Number of item","11741","Kilogram","7,471,705",
"202008","84862031","Step and repeat alignersw","27","Number of item","347484","Kilogram","368,277,179",
"202008","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","28","Number of item","312188","Kilogram","205,450,632",
"202008","84862041","Dry plasma etching for the manufacture of semiconductor or IC","107","Number of item","422130","Kilogram","270,969,674",
"202008","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","47","Number of item","213149","Kilogram","47,156,358",
"202008","84862050","Ion implanters","21","Number of item","432958","Kilogram","67,375,409",
"202008","84862090","Other apparatus for the manufacture of semiconductor devices","333","Number of item","798321","Kilogram","196,877,207",
"202009","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","147","Number of item","373427","Kilogram","103,183,679",
"202009","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","101","Number of item","538286","Kilogram","289,193,834",
"202009","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","47","Number of item","158666","Kilogram","46,931,173",
"202009","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","31843","Kilogram","18,430,628",
"202009","84862031","Step and repeat alignersw","21","Number of item","188890","Kilogram","165,667,453",
"202009","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","52","Number of item","269552","Kilogram","152,525,605",
"202009","84862041","Dry plasma etching for the manufacture of semiconductor or IC","134","Number of item","400050","Kilogram","256,740,843",
"202009","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","37","Number of item","167273","Kilogram","26,891,434",
"202009","84862050","Ion implanters","18","Number of item","285507","Kilogram","44,885,120",
"202009","84862090","Other apparatus for the manufacture of semiconductor devices","522","Number of item","1016735","Kilogram","248,779,199",
"202010","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","145","Number of item","578928","Kilogram","147,459,429",
"202010","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","102","Number of item","685905","Kilogram","255,445,247",
"202010","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","42","Number of item","159716","Kilogram","44,573,502",
"202010","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","16","Number of item","70483","Kilogram","30,944,780",
"202010","84862031","Step and repeat alignersw","13","Number of item","97957","Kilogram","19,467,855",
"202010","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","56","Number of item","347176","Kilogram","131,247,181",
"202010","84862041","Dry plasma etching for the manufacture of semiconductor or IC","108","Number of item","417190","Kilogram","238,225,061",
"202010","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","51","Number of item","192179","Kilogram","48,068,317",
"202010","84862050","Ion implanters","23","Number of item","472885","Kilogram","74,760,669",
"202010","84862090","Other apparatus for the manufacture of semiconductor devices","386","Number of item","778462","Kilogram","190,231,081",
"202011","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","98","Number of item","341919","Kilogram","73,217,038",
"202011","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","100","Number of item","578450","Kilogram","213,210,589",
"202011","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","177","Number of item","410775","Kilogram","46,776,344",
"202011","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","24480","Kilogram","21,460,960",
"202011","84862031","Step and repeat alignersw","16","Number of item","139882","Kilogram","139,678,098",
"202011","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","95","Number of item","425779","Kilogram","197,107,268",
"202011","84862041","Dry plasma etching for the manufacture of semiconductor or IC","128","Number of item","417642","Kilogram","210,148,454",
"202011","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","49","Number of item","208629","Kilogram","59,226,670",
"202011","84862050","Ion implanters","14","Number of item","298944","Kilogram","38,300,229",
"202011","84862090","Other apparatus for the manufacture of semiconductor devices","455","Number of item","957557","Kilogram","204,022,824",
"202012","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","85","Number of item","299499","Kilogram","60,603,197",
"202012","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","99","Number of item","442527","Kilogram","148,999,115",
"202012","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","81","Number of item","212807","Kilogram","43,333,145",
"202012","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","19","Number of item","50549","Kilogram","13,028,781",
"202012","84862031","Step and repeat alignersw","29","Number of item","177640","Kilogram","60,003,908",
"202012","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","58","Number of item","343947","Kilogram","164,851,017",
"202012","84862041","Dry plasma etching for the manufacture of semiconductor or IC","90","Number of item","287991","Kilogram","170,743,451",
"202012","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","57","Number of item","256136","Kilogram","55,977,376",
"202012","84862050","Ion implanters","19","Number of item","385320","Kilogram","44,923,386",
"202012","84862090","Other apparatus for the manufacture of semiconductor devices","394","Number of item","930122","Kilogram","163,628,549",
