"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202307","84862041","Dry plasma etching for the manufacture of semiconductor or IC","142","Number of item","765830","Kilogram","370,728,702",
"202307","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","50","Number of item","379410","Kilogram","122,665,423",
"202307","84862050","Ion implanters","45","Number of item","879607","Kilogram","127,686,741",
"202307","84862090","Other apparatus for the manufacture of semiconductor devices","475","Number of item","1198682","Kilogram","300,909,017",
"202308","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","168","Number of item","671725","Kilogram","162,104,234",
"202308","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","155","Number of item","773418","Kilogram","368,826,288",
"202308","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","56","Number of item","827502","Kilogram","91,357,924",
"202308","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","11","Number of item","58008","Kilogram","44,223,855",
"202308","84862031","Step and repeat alignersw","29","Number of item","208643","Kilogram","51,469,102",
"202308","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","51","Number of item","464383","Kilogram","763,399,648",
"202308","84862041","Dry plasma etching for the manufacture of semiconductor or IC","106","Number of item","503778","Kilogram","330,666,834",
"202308","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","29","Number of item","125621","Kilogram","41,069,083",
"202308","84862050","Ion implanters","37","Number of item","658028","Kilogram","108,201,876",
"202308","84862090","Other apparatus for the manufacture of semiconductor devices","425","Number of item","1457211","Kilogram","384,028,181",
"202309","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","170","Number of item","747405","Kilogram","183,412,204",
"202309","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","206","Number of item","1377462","Kilogram","554,111,129",
"202309","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","52","Number of item","320692","Kilogram","149,974,880",
"202309","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","527","Number of item","110327","Kilogram","89,216,386",
"202309","84862031","Step and repeat alignersw","12","Number of item","133479","Kilogram","46,884,640",
"202309","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","59","Number of item","789571","Kilogram","1,376,150,646",
"202309","84862041","Dry plasma etching for the manufacture of semiconductor or IC","163","Number of item","1003051","Kilogram","643,348,386",
"202309","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","40","Number of item","191657","Kilogram","54,541,975",
"202309","84862050","Ion implanters","44","Number of item","804285","Kilogram","143,885,325",
"202309","84862090","Other apparatus for the manufacture of semiconductor devices","436","Number of item","1677304","Kilogram","538,079,270",
